Gemeente;Totaal, 65 jaar of ouder;65 tot 80 jaar;80 jaar of ouder
Aa en Hunze;29,2;22,4;6,7
Aalsmeer;19,4;13,8;5,6
Aalten;24,7;18,7;6,0
Achtkarspelen;22,3;17,2;5,2
Alblasserdam;20,6;14,6;6,1
Albrandswaard;19,4;14,9;4,6
Alkmaar;21,4;16,4;5,0
Almelo;20,9;15,7;5,2
Almere;14,2;11,9;2,3
Alphen aan den Rijn;20,7;15,7;4,9
Alphen-Chaam;25,6;19,3;6,3
Altena;21,0;16,0;5,0
Ameland;25,6;18,9;6,7
Amersfoort;16,7;12,8;3,9
Amstelveen;19,5;13,7;5,8
Amsterdam;13,9;10,9;3,0
Apeldoorn;22,5;16,9;5,6
Arnhem;16,5;12,8;3,7
Assen;22,0;16,6;5,4
Asten;24,2;18,2;6,0
Baarle-Nassau;27,8;20,7;7,1
Baarn;25,5;18,2;7,3
Barendrecht;20,1;15,1;5,0
Barneveld;17,8;13,0;4,8
Beek (L.);28,1;20,6;7,5
Beekdaelen;28,1;20,8;7,3
Beesel;26,0;19,9;6,1
Berg en Dal;26,8;19,9;6,9
Bergeijk;24,6;18,5;6,2
Bergen (L.);27,0;21,1;5,9
Bergen (NH.);34,6;24,1;10,5
Bergen op Zoom;23,1;17,4;5,7
Berkelland;27,2;20,4;6,8
Bernheze;23,1;17,2;5,9
Best;20,7;15,6;5,1
Beuningen;22,6;17,9;4,7
Beverwijk;19,4;14,7;4,7
De Bilt;24,8;17,2;7,6
Bladel;24,1;17,3;6,8
Blaricum;24,1;18,2;5,8
Bloemendaal;27,9;19,0;8,8
Bodegraven-Reeuwijk;21,3;15,8;5,6
Boekel;20,7;15,6;5,0
Borger-Odoorn;26,8;20,6;6,2
Borne;23,1;17,0;6,0
Borsele;22,8;17,3;5,5
Boxtel;23,9;18,1;5,8
Breda;19,6;14,4;5,2
Bronckhorst;29,1;21,8;7,3
Brummen;27,4;20,2;7,2
Brunssum;27,6;20,3;7,3
Bunnik;22,7;16,0;6,7
Bunschoten;17,6;13,3;4,3
Buren;22,1;17,5;4,6
Capelle aan den IJssel;22,3;17,1;5,2
Castricum;26,8;19,2;7,6
Coevorden;26,9;20,2;6,7
Cranendonck;25,5;19,1;6,3
Culemborg;20,8;16,1;4,7
Dalfsen;23,1;17,2;5,9
Dantumadiel;24,1;17,9;6,3
Delft;16,5;12,7;3,8
Deurne;24,1;18,0;6,0
Deventer;19,5;14,8;4,8
Diemen;16,1;12,3;3,8
Dijk en Waard;20,2;15,4;4,7
Dinkelland;24,7;18,4;6,4
Doesburg;29,2;22,7;6,5
Doetinchem;22,8;17,4;5,4
Dongen;23,0;17,3;5,7
Dordrecht;20,2;15,2;5,0
Drechterland;23,4;17,9;5,5
Drimmelen;24,3;18,6;5,7
Dronten;19,2;14,7;4,6
Druten;22,0;17,3;4,7
Duiven;22,7;17,8;4,9
Echt-Susteren;27,9;21,2;6,7
Edam-Volendam;22,8;17,6;5,2
Ede;19,6;14,7;5,0
Eemnes;22,8;17,4;5,4
Eemsdelta;26,7;19,9;6,7
Eersel;24,7;18,2;6,5
Eijsden-Margraten;27,9;20,7;7,2
Eindhoven;16,4;11,9;4,5
Elburg;21,2;15,9;5,3
Emmen;24,6;18,6;6,0
Enkhuizen;23,2;17,6;5,6
Enschede;18,6;14,0;4,7
Epe;27,0;19,8;7,3
Ermelo;24,9;18,1;6,8
Etten-Leur;22,4;17,0;5,4
De Fryske Marren;25,5;19,0;6,5
Geertruidenberg;23,1;17,4;5,7
Geldrop-Mierlo;23,9;17,6;6,3
Gemert-Bakel;22,1;17,2;4,9
Gennep;26,7;20,3;6,4
Gilze en Rijen;21,8;16,6;5,2
Goeree-Overflakkee;23,3;17,3;6,1
Goes;24,7;17,9;6,8
Goirle;25,1;19,6;5,5
Gooise Meren;21,0;14,6;6,4
Gorinchem;19,8;14,8;5,0
Gouda;20,7;15,4;5,3
's-Gravenhage (gemeente);15,4;11,8;3,6
Groningen (gemeente);15,6;11,9;3,7
Gulpen-Wittem;32,0;23,8;8,1
Haaksbergen;26,1;18,9;7,2
Haarlem;17,6;13,2;4,4
Haarlemmermeer;18,1;13,8;4,2
Halderberge;24,6;18,2;6,4
Hardenberg;20,6;15,7;5,0
Harderwijk;20,0;15,2;4,8
Hardinxveld-Giessendam;18,8;13,7;5,1
Harlingen;27,5;20,6;6,8
Hattem;23,0;16,7;6,3
Heemskerk;24,4;17,6;6,8
Heemstede;28,1;18,9;9,2
Heerde;25,5;18,8;6,7
Heerenveen;23,7;17,2;6,4
Heerlen;24,8;18,4;6,4
Heeze-Leende;26,3;19,1;7,2
