gemeentecode,gemeentenaam,inwoners,pct_65plus,pct_65_80,pct_80plus,n_65plus,n_65plus_met_valrisico,n_65plus_at_risk_met_visusproblematiek,n_vallen_65plus,potentieel_vallen_door_visusproblematiek_65plus,sterfgevallen_door_visusproblematiek_65plus,kosten_ernstige_vallen_65plus,kosten_ernstige_vallen_visusproblematiek_65plus,n_65_80,n_65_80_met_valrisico,n_65_80_at_risk_met_visusproblematiek,n_vallen_65_80,potentieel_vallen_door_visusproblematiek_65_80,sterfgevallen_door_visusproblematiek_65_80,kosten_ernstige_vallen_65_80,kosten_ernstige_vallen_visusproblematiek_65_80,n_80plus,n_80plus_met_valrisico,n_80plus_at_risk_met_visusproblematiek,n_vallen_80plus,potentieel_vallen_door_visusproblematiek_80plus,sterfgevallen_door_visusproblematiek_80plus,kosten_ernstige_vallen_80plus,kosten_ernstige_vallen_visusproblematiek_80plus
14,Groningen,245250,0.156,0.11900000000000001,0.037000000000000005,38259,12625,2525,9090,2357,10,9925199,514713,29185,9631,1926,6934,1798,8,7571453,392640,9074,2994,599,2156,559,2,2353746,122072
34,Almere,232102,0.142,0.11900000000000001,0.023,32958,10876,2175,7830,2030,9,8550215,443304,27620,9115,1823,6563,1702,8,7165797,371676,5338,1762,352,1267,328,1,1385204,71627
37,Stadskanaal,32174,0.266,0.19399999999999998,0.07200000000000001,8558,2824,565,2034,527,2,2220100,115084,6242,2060,412,1483,384,2,1619478,83856,2317,765,153,551,143,1,601408,31228
47,Veendam,27819,0.243,0.183,0.06,6760,2231,446,1606,416,2,1753910,90845,5091,1680,336,1210,314,1,1320739,68570,1669,551,110,396,103,0,433171,22493
50,Zeewolde,24579,0.16399999999999998,0.131,0.033,4031,1330,266,958,248,1,1045585,54157,3220,1063,213,767,199,1,835682,43457,811,268,54,194,50,0,210689,10919
59,Achtkarspelen,28270,0.223,0.172,0.052000000000000005,6304,2080,416,1498,388,2,1635201,84730,4862,1604,321,1156,300,1,1260992,65513,1470,485,97,349,90,0,381285,19654
60,Ameland,3847,0.256,0.18899999999999997,0.067,985,325,65,234,61,0,255500,13321,727,240,48,173,45,0,188677,9827,258,85,17,61,16,0,66823,3494
72,Harlingen,16260,0.275,0.20600000000000002,0.068,4472,1476,295,1062,275,1,1160364,60053,3350,1106,221,796,206,1,869487,44986,1106,365,73,263,68,0,286946,14850
74,Heerenveen,51966,0.237,0.172,0.064,12316,4064,813,2927,759,3,3194931,165748,8938,2950,590,2124,551,2,2319155,120325,3326,1098,220,792,205,1,863198,44767
80,Leeuwarden,130174,0.198,0.15,0.047,25774,8505,1701,6124,1588,7,6686243,346781,19526,6444,1289,4640,1203,5,5065979,262707,6118,2019,404,1454,377,2,1587246,82328
85,Ooststellingwerf,25909,0.265,0.19899999999999998,0.066,6866,2266,453,1631,423,2,1781426,92373,5156,1701,340,1224,317,1,1337249,69225,1710,564,113,407,106,0,443391,23148
86,Opsterland,30067,0.243,0.183,0.06,7306,2411,482,1735,450,2,1895418,98269,5502,1816,363,1307,339,2,1427656,74030,1804,595,119,428,111,0,467762,24240
88,Schiermonnikoog,977,0.314,0.22699999999999998,0.08800000000000001,307,101,20,72,19,0,79402,4149,222,73,15,54,14,0,57389,3057,86,28,6,22,6,0,22012,1310
90,Smallingerland,57278,0.226,0.165,0.061,12945,4272,854,3074,797,4,3358452,174046,9451,3119,624,2246,582,3,2452016,127095,3494,1153,231,832,216,1,906436,47169
93,Terschelling,4865,0.25,0.185,0.065,1216,401,80,288,75,0,315248,16378,900,297,59,212,55,0,233488,12011,316,104,21,76,20,0,81760,4368
96,Vlieland,1223,0.222,0.16899999999999998,0.053,272,90,18,65,17,0,70754,3712,207,68,14,50,13,0,53458,2839,65,21,4,14,4,0,16509,874
98,Weststellingwerf,26661,0.26,0.19,0.069,6932,2288,458,1649,428,2,1798721,93465,5066,1672,334,1202,312,1,1314450,68133,1840,607,121,436,113,1,477196,24677
106,Assen,70852,0.22,0.166,0.054000000000000006,15587,5144,1029,3704,960,4,4043978,209641,11761,3881,776,2794,724,3,3051065,158104,3826,1263,253,911,236,1,992913,51537
109,Coevorden,35746,0.26899999999999996,0.20199999999999999,0.067,9616,3173,635,2286,593,3,2494468,129497,7221,2383,477,1717,445,2,1873406,97177,2395,790,158,569,148,1,621062,32320
